security_id,timestamp,buy_volume,sell_volume,buy_initiated,sell_initiated,tick_delta,open,high,low,close,delta,inference,open_interest,oi_change,oi_interpretation
38316,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
38317,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
39028,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
39029,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
39030,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
39031,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
44170,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
44171,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
44172,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
44173,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
44178,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
44179,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
46470,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
46472,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
46473,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
46477,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
49224,12:43,1050.0,-780.0,0.0,0.0,0.0,59926.4,59926.4,59926.4,59926.4,1830.0,Neutral,0.0,0.0,Neutral
49224,12:44,-1080.0,-210.0,30.0,0.0,30.0,59940.6,59940.6,59940.6,59940.6,-870.0,Buy Dominant,0.0,0.0,Neutral
49225,12:04,0.0,0.0,0.0,0.0,0.0,27905.0,27905.0,27905.0,27905.0,0.0,Neutral,0.0,0.0,Neutral
49226,12:42,-1080.0,-3240.0,0.0,0.0,0.0,13831.15,13831.15,13831.15,13831.15,2160.0,Neutral,0.0,0.0,Neutral
49229,12:44,2535.0,-1040.0,0.0,0.0,0.0,26175.0,26175.0,26175.0,26175.0,3575.0,Neutral,0.0,0.0,Neutral
49229,12:45,0.0,0.0,0.0,0.0,0.0,26170.0,26170.0,26170.0,26170.0,0.0,Neutral,0.0,0.0,Neutral
49234,11:30,0.0,0.0,0.0,0.0,0.0,68511.0,68511.0,68511.0,68511.0,0.0,Neutral,0.0,0.0,Neutral
49235,12:40,1000.0,-500.0,0.0,0.0,0.0,1141.7,1141.7,1141.7,1141.7,1500.0,Neutral,0.0,0.0,Neutral
49236,12:38,0.0,0.0,0.0,0.0,0.0,5250.0,5250.0,5250.0,5250.0,0.0,Neutral,0.0,0.0,Neutral
49236,12:44,0.0,0.0,0.0,0.0,0.0,5260.0,5260.0,5260.0,5260.0,0.0,Neutral,0.0,0.0,Neutral
49237,12:38,18600.0,-15500.0,0.0,0.0,0.0,363.9,363.9,363.9,363.9,34100.0,Neutral,0.0,0.0,Neutral
49239,12:26,-3375.0,1350.0,0.0,0.0,0.0,1004.35,1004.35,1004.35,1004.35,-4725.0,Neutral,0.0,0.0,Neutral
49240,12:43,-927.0,309.0,0.0,0.0,0.0,2273.8,2273.8,2273.8,2273.8,-1236.0,Neutral,0.0,0.0,Neutral
49241,12:42,600.0,1200.0,0.0,0.0,0.0,1020.0,1020.0,1020.0,1020.0,-600.0,Neutral,0.0,0.0,Neutral
49242,12:43,0.0,475.0,0.0,0.0,0.0,1527.1,1527.1,1527.1,1527.1,-475.0,Neutral,0.0,0.0,Neutral
49242,12:44,1425.0,-2375.0,0.0,475.0,-475.0,1526.5,1526.5,1526.5,1526.5,3800.0,Sell Dominant,0.0,0.0,Neutral
49259,12:42,250.0,0.0,0.0,0.0,0.0,5695.0,5695.0,5695.0,5695.0,250.0,Neutral,0.0,0.0,Neutral
49260,12:35,200.0,0.0,0.0,0.0,0.0,6535.0,6535.0,6535.0,6535.0,200.0,Neutral,0.0,0.0,Neutral
49263,12:42,3150.0,-1050.0,0.0,0.0,0.0,538.3,538.3,538.3,538.3,4200.0,Neutral,0.0,0.0,Neutral
49263,12:44,0.0,1050.0,1050.0,0.0,1050.0,539.35,539.35,539.35,539.35,-1050.0,Buy Dominant,0.0,0.0,Neutral
49263,12:45,0.0,0.0,0.0,0.0,0.0,539.9,539.9,539.9,539.9,0.0,Neutral,0.0,0.0,Neutral
49265,12:43,-500.0,-500.0,0.0,0.0,0.0,2530.0,2530.0,2530.0,2530.0,0.0,Neutral,0.0,0.0,Neutral
49266,12:25,-700.0,-350.0,0.0,0.0,0.0,1736.0,1736.0,1736.0,1736.0,-350.0,Neutral,0.0,0.0,Neutral
49267,12:43,500.0,0.0,0.0,0.0,0.0,7087.0,7087.0,7087.0,7087.0,500.0,Neutral,0.0,0.0,Neutral
49269,12:40,5000.0,15000.0,0.0,0.0,0.0,160.46,160.46,160.46,160.46,-10000.0,Neutral,0.0,0.0,Neutral
49269,12:45,0.0,0.0,0.0,0.0,0.0,160.46,160.46,160.46,160.46,0.0,Neutral,0.0,0.0,Neutral
49270,12:43,-500.0,-1000.0,0.0,0.0,0.0,2818.3,2818.3,2818.3,2818.3,500.0,Neutral,0.0,0.0,Neutral
49277,12:39,1700.0,850.0,0.0,0.0,0.0,1415.0,1415.0,1415.0,1415.0,850.0,Neutral,0.0,0.0,Neutral
